#	Book Name	# Ch.	Total Vv.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	Avg. Vv/Ch
35	Hosea	14	197	9	25	5	19	15	11	16	14	17	15	11	15	15	10	14.07
36	Joel	4	73	20	27	5	21	.	.	.	.	.	.	.	.	.	.	18.25
37	Amos	9	146	15	16	15	13	27	14	17	14	15	.	.	.	.	.	16.22
38	Obadiah	1	21	21	.	.	.	.	.	.	.	.	.	.	.	.	.	21.00
39	Jonah	4	48	16	11	10	11	.	.	.	.	.	.	.	.	.	.	12.00
40	Micah	7	105	16	13	12	14	14	16	20	.	.	.	.	.	.	.	15.00
41	Nahum	3	47	14	14	19	.	.	.	.	.	.	.	.	.	.	.	15.67
42	Habakkuk	3	56	17	20	19	.	.	.	.	.	.	.	.	.	.	.	18.67
43	Zephaniah	3	53	18	15	20	.	.	.	.	.	.	.	.	.	.	.	17.67
44	Haggai	2	38	15	23	.	.	.	.	.	.	.	.	.	.	.	.	19.00
45	Zechariah	14	211	17	17	10	14	11	15	14	23	17	12	17	14	9	21	15.07
46	Malachi	3	55	14	17	24	.	.	.	.	.	.	.	.	.	.	.	18.33

